"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
57.90,146136.48,153499.05,310.50,758.70,588.60,17.55,162.00,143.64,502.28,547.52
58.00,135585.00,148421.70,175.50,479.25,193.05,-5.40,196.56,74.52,415.28,443.12
58.30,83973.92,22432.95,326.70,3129.30,8800.65,498.15,447.12,237.60,75.40,142.68
58.40,146359.13,130114.35,90.45,406.35,427.95,39.15,295.92,61.56,477.92,380.48
58.60,132238.97,130454.55,297.00,203.85,226.80,33.75,252.72,-71.28,385.12,386.28
59.10,147706.92,169901.55,286.20,157.95,286.20,-4.05,194.40,-70.20,455.88,438.48
59.10,67867.48,24896.70,167.40,600.75,187.65,18.90,90.72,-25.92,84.68,193.72
59.10,144943.25,161437.05,265.95,294.30,332.10,87.75,73.44,24.84,426.88,462.84
59.70,127086.96,137420.55,176.85,243.00,98.55,-48.60,270.00,12.96,415.28,334.08
59.70,134086.33,140690.25,197.10,-17.55,202.50,49.95,104.76,-2.16,379.32,473.28
59.70,74379.24,25632.45,479.25,5633.55,10390.95,579.15,767.88,124.20,119.48,233.16
59.80,156133.20,188495.11,198.45,147.15,334.80,60.75,170.64,95.04,617.12,593.92
59.90,101713.36,113109.75,126.90,692.55,637.20,32.40,100.44,-28.08,350.32,489.52
60.60,123020.56,132277.05,247.05,480.60,472.50,9.45,226.80,128.52,378.16,464.00
60.80,74857.64,44001.90,375.30,90.45,-76.95,-29.70,91.80,-38.88,169.36,228.52
61.20,112022.88,56628.45,322.65,2330.10,1568.70,186.30,435.24,92.88,252.88,395.56
61.30,126933.32,77107.95,355.05,386.10,531.90,13.50,132.84,46.44,272.60,354.96
61.50,161389.16,176403.16,353.70,1123.20,565.65,55.35,373.68,22.68,561.44,559.12
61.60,138856.52,147785.86,241.65,319.95,322.65,28.35,411.48,84.24,472.12,502.28
61.60,161986.25,180702.91,423.90,452.25,283.50,4.05,210.60,41.04,525.48,574.20
61.90,141453.69,145179.00,272.70,163.35,525.15,33.75,301.32,-72.36,472.12,526.64
62.00,71206.16,126929.70,155.25,144.45,79.65,51.30,429.84,-38.88,426.88,436.16
62.00,70950.40,30100.95,236.25,5377.05,10785.15,571.05,786.24,184.68,120.64,252.88
62.10,170831.13,177088.95,307.80,581.85,409.05,71.55,361.80,64.80,606.68,697.16
63.20,137614.52,154727.55,270.00,625.05,500.85,157.95,300.24,-34.56,417.60,581.16
63.30,158366.05,213804.91,402.30,419.85,413.10,118.80,440.64,90.72,552.16,696.00
63.40,142400.36,138607.20,182.25,633.15,360.45,9.45,124.20,33.48,322.48,421.08
63.40,137825.20,150504.75,220.05,936.90,454.95,56.70,208.44,51.84,472.12,386.28
63.50,27455.56,15940.80,27.00,-5.40,79.65,-1.35,-36.72,-54.00,12.76,75.40
63.80,160097.48,168180.30,314.55,259.20,383.40,58.05,265.68,-30.24,473.28,403.68
64.10,152526.80,186757.66,355.05,623.70,587.25,13.50,385.56,106.92,540.56,658.88
64.20,142569.64,47649.60,835.65,3462.75,16910.10,851.85,1286.28,300.24,288.84,316.68
64.50,125672.92,158900.41,328.05,513.00,328.05,-10.80,346.68,-44.28,466.32,524.32
