"Time-","FSC-A-","SSC-A-","FITC-A-IgG","PE-A-IgG2A","PerCP-Cy5-5-A-","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
52.50,104861.13,96017.76,184.71,258.07,220.08,-18.34,137.80,9.54,345.78,441.83
52.60,109171.80,114200.55,259.38,149.34,320.95,-65.50,241.68,62.54,335.61,332.22
52.70,67203.50,18831.25,145.41,96.94,145.41,15.72,14.84,45.58,111.87,47.46
52.80,135415.28,111876.62,210.91,98.25,289.51,-2.62,134.62,38.16,257.64,355.95
52.80,126934.99,114039.42,267.24,273.79,347.15,-10.48,56.18,84.80,368.38,466.69
53.10,127699.39,107954.48,218.77,250.21,314.40,2.62,198.22,131.44,320.92,426.01
53.10,99011.64,99166.99,227.94,75.98,141.48,-14.41,202.46,50.88,247.47,348.04
53.10,133477.89,110810.27,186.02,216.15,233.18,82.53,187.62,117.66,447.48,459.91
53.40,56720.30,18653.09,216.15,10.48,2.62,20.96,57.24,63.60,117.52,113.00
53.40,60290.23,22639.42,99.56,39.30,40.61,1.31,-11.66,25.44,113.00,210.18
53.60,91481.39,135085.89,199.12,155.89,263.31,13.10,168.54,30.74,415.84,401.15
54.30,143600.73,136809.84,187.33,65.50,220.08,41.92,237.44,-62.54,421.49,405.67
54.30,129381.98,128917.09,314.40,106.11,267.24,51.09,148.40,26.50,404.54,507.37
54.30,126496.38,106546.23,159.82,85.15,216.15,17.03,350.86,6.36,403.41,516.41
54.40,134360.59,111638.20,193.88,268.55,289.51,24.89,162.18,-57.24,334.48,435.05
54.40,163275.84,165974.38,272.48,155.89,231.87,-7.86,133.56,113.42,527.71,611.33
54.50,48836.06,12033.66,55.02,163.75,22.27,-10.48,3.18,-62.54,37.29,109.61
54.50,107971.50,110070.13,241.04,165.06,132.31,15.72,215.18,-21.20,395.50,518.67
54.70,100268.35,78974.66,221.39,93.01,133.62,18.34,173.84,-60.42,315.27,276.85
54.80,119887.95,112865.66,165.06,196.50,74.67,-47.16,160.06,51.94,367.25,349.17
55.00,122538.78,107920.41,52.40,244.97,159.82,31.44,241.68,99.64,359.34,403.41
55.10,90096.38,67146.66,208.29,123.14,113.97,32.75,83.74,45.58,310.75,289.28
55.10,163183.94,153353.83,163.75,362.87,564.61,28.82,249.10,186.56,419.23,557.09
55.20,109781.49,110075.37,150.65,168.99,83.84,-17.03,156.88,71.02,363.86,477.99
55.30,120596.84,96047.88,56.33,168.99,178.16,30.13,293.62,67.84,326.57,329.96
55.50,107743.09,129261.63,157.20,233.18,231.87,2.62,350.86,89.04,375.16,416.97
55.60,157524.64,171283.80,440.16,186.02,399.55,40.61,283.02,57.24,491.55,510.76
55.70,82388.67,92674.63,106.11,201.74,186.02,13.10,281.96,-25.44,301.71,409.06
55.70,59109.96,18460.52,233.18,148.03,121.83,-1.31,-20.14,71.02,102.83,100.57
55.80,115047.66,91152.41,167.68,145.41,273.79,-24.89,310.58,43.46,307.36,274.59
55.90,168138.89,92319.63,195.19,178.16,134.93,7.86,84.80,6.36,303.97,410.19
56.00,111132.84,107837.88,110.04,43.23,111.35,-20.96,107.06,-5.30,242.95,354.82
56.10,90459.46,54434.43,127.07,95.63,319.64,-2.62,77.38,159.00,276.85,285.89
56.10,54373.41,14379.87,136.24,36.68,74.67,34.06,-58.30,41.34,126.56,207.92
56.10,121717.05,103178.22,209.60,123.14,155.89,36.68,133.56,67.84,307.36,342.39
56.50,91967.34,93528.76,204.36,111.35,305.23,72.05,38.16,8.48,261.03,413.58
56.50,103469.73,91483.84,174.23,83.84,102.18,3.93,173.84,238.50,268.94,333.35
56.90,55226.99,16981.53,166.37,170.30,91.70,-22.27,38.16,15.90,110.74,150.29
56.90,106052.31,79959.77,170.30,68.12,262.00,-2.62,203.52,-31.80,209.05,135.60
57.00,148091.58,119914.77,281.65,352.39,225.32,56.33,266.06,53.00,387.59,523.19
57.00,64007.58,21121.13,213.53,32.75,77.29,14.41,-18.02,-26.50,146.90,125.43
57.10,205746.45,39592.13,474.22,631.42,430.99,73.36,129.32,49.82,353.69,595.51
57.10,138146.19,141296.59,183.40,162.44,214.84,-2.62,263.94,113.42,496.07,467.82
57.20,71526.00,19560.92,78.60,-30.13,51.09,27.51,116.60,-25.44,56.50,221.48
57.30,62308.61,13707.84,82.53,102.18,45.85,1.31,3.18,-30.74,51.98,90.40
57.40,158512.00,125373.55,145.41,419.20,446.71,49.78,336.02,14.84,420.36,444.09
