"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
52.00,88450.18,21802.44,254.76,179.52,7790.64,401.28,862.42,116.63,114.13,197.75
52.10,129770.55,143550.00,616.44,19000.08,4428.60,396.00,332.77,83.46,427.14,618.11
52.40,65751.14,19825.08,337.92,2510.64,8356.92,601.92,485.78,18.19,98.31,241.82
52.70,145669.17,140887.56,294.36,471.24,47.52,-25.08,178.69,-37.45,414.71,641.84
53.20,152594.27,185720.05,310.20,80.52,58.08,47.52,220.42,8.56,606.81,824.90
53.60,130389.35,62430.72,436.92,762.96,1243.44,141.24,197.95,-46.01,426.01,819.25
53.70,144165.84,179786.64,273.24,166.32,-105.60,18.48,134.82,21.40,553.70,580.82
53.80,75229.70,21819.60,157.08,1535.16,137.28,-29.04,158.36,-2.14,127.69,168.37
54.00,147936.89,194641.92,505.56,236.28,530.64,-10.56,428.00,120.91,661.05,733.37
54.10,158606.64,228465.61,543.84,2394.48,958.32,141.24,436.56,126.26,638.45,702.86
54.90,113763.66,70983.00,340.56,2704.68,3249.84,145.20,174.41,-13.91,380.81,683.65
55.00,137435.48,126816.37,469.92,198.00,143.88,129.36,214.00,148.73,364.99,438.44
55.10,143606.19,148592.41,209.88,-39.60,183.48,67.32,359.52,194.74,424.88,505.11
55.30,73778.25,29292.12,1174.80,49856.40,19505.64,1058.64,1091.40,335.98,133.34,159.33
55.90,128960.66,145922.05,353.76,192.72,431.64,44.88,264.29,68.48,459.91,579.69
56.00,132296.72,148593.72,167.64,153.12,85.80,6.60,172.27,27.82,464.43,519.80
56.10,155255.11,157563.13,343.20,151.80,89.76,108.24,221.49,-11.77,499.46,631.67
56.50,222508.66,52880.52,815.76,1140.48,2478.96,77.88,247.17,59.92,313.01,1124.35
56.70,77646.66,20226.36,113.52,3178.56,485.76,31.68,26.75,73.83,54.24,108.48
57.30,66495.52,18363.84,184.80,4444.44,11531.52,623.04,1037.90,74.90,48.59,129.95
57.60,75144.16,29202.36,401.28,492.36,13077.24,607.20,969.42,224.70,50.85,231.65
58.10,115329.77,52203.36,297.00,104.28,2055.24,264.00,133.75,1.07,136.73,379.68
58.40,86788.52,26950.44,344.52,1276.44,77.88,30.36,-5.35,100.58,40.68,345.78
58.60,147874.09,161989.09,439.56,495.00,439.56,22.44,255.73,85.60,558.22,552.57
