"Time-","FSC-A-","SSC-A-","FITC-A-IgG","PE-A-IgG2A","PerCP-Cy5-5-A-","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
54.10,126988.69,113333.34,119.21,124.45,192.57,-17.03,117.66,5.30,386.46,385.33
54.50,111090.98,51927.09,128.38,186.02,159.82,66.81,126.14,102.82,271.20,453.13
54.90,155388.88,124426.41,154.58,171.61,188.64,55.02,83.74,89.04,527.71,458.78
55.10,140858.00,145686.41,281.65,255.45,355.01,77.29,234.26,111.30,616.98,640.71
55.40,112704.41,59002.40,103.49,284.27,204.36,53.71,101.76,10.60,279.11,339.00
56.30,65487.24,15853.62,182.09,32.75,26.20,30.13,-3.18,78.44,19.21,215.83
56.30,125808.41,105306.97,212.22,144.10,140.17,19.65,128.26,-1.06,400.02,446.35
56.50,74227.79,11800.48,78.60,65.50,34.06,-11.79,45.58,-19.08,62.15,18.08
56.50,164882.91,177544.30,272.48,145.41,306.54,9.17,99.64,21.20,680.26,602.29
56.60,65751.14,14632.70,196.50,11.79,-11.79,48.47,-24.38,-16.96,107.35,193.23
57.20,82871.88,21434.22,51.09,19.65,28.82,24.89,2.12,-82.68,178.54,145.77
57.20,57923.32,14328.78,112.66,0.00,19.65,-10.48,53.00,46.64,50.85,132.21
57.20,108715.88,92872.45,99.56,242.35,222.70,2.62,92.22,0.00,426.01,483.64
57.30,164295.95,190408.48,208.29,280.34,95.63,31.44,217.30,-78.44,664.44,630.54
57.30,142102.88,125273.98,157.20,161.13,144.10,65.50,62.54,0.00,476.86,484.77
57.40,89324.70,24402.68,153.27,166.37,72.05,-1.31,27.56,-62.54,150.29,220.35
57.40,141627.86,122609.45,136.24,233.18,103.49,35.37,162.18,47.70,562.74,539.01
57.40,96820.36,20882.71,131.00,151.96,170.30,34.06,24.38,33.92,62.15,119.78
57.70,65084.11,15870.65,78.60,72.05,-55.02,-23.58,190.80,-45.58,100.57,142.38
57.80,155843.88,167689.16,362.87,120.52,279.03,66.81,202.46,-8.48,706.25,724.33
58.00,120804.32,65101.76,317.02,441.47,69.43,-9.17,151.58,-69.96,277.98,501.72
58.00,111526.88,111105.02,90.39,113.97,284.27,-15.72,89.04,-31.80,500.59,462.17
58.50,95159.61,24066.01,196.50,247.59,28.82,5.24,42.40,72.08,167.24,254.25
58.60,262143.00,262143.00,2071.11,1751.47,1930.94,341.91,734.58,184.44,2454.36,3732.39
58.70,80100.02,19508.52,125.76,40.61,-27.51,1.31,64.66,24.38,61.02,183.06
58.80,121618.77,71924.23,214.84,453.26,344.53,30.13,83.74,-41.34,345.78,404.54
58.90,141137.36,167804.44,347.15,334.05,217.46,58.95,94.34,-15.90,623.76,627.15
59.00,154672.70,129245.91,205.67,170.30,222.70,199.12,62.54,69.96,526.58,621.50
59.00,133992.95,50124.53,121.83,150.65,134.93,-18.34,235.32,-24.38,226.00,313.01
59.00,151398.53,129218.39,344.53,121.83,77.29,72.05,192.92,-59.36,524.32,527.71
59.30,160565.86,168786.94,285.58,265.93,328.81,37.99,0.00,68.90,676.87,613.59
59.40,133359.59,125276.60,230.56,298.68,134.93,73.36,60.42,-74.20,554.83,475.73
59.50,113277.71,117489.97,209.60,235.80,269.86,-10.48,79.50,0.00,510.76,440.70
59.60,125980.41,99799.73,191.26,81.22,227.94,-55.02,186.56,-28.62,318.66,470.08
59.80,69587.70,17741.33,212.22,47.16,108.73,-14.41,-51.94,-26.50,73.45,123.17
59.80,145700.11,132367.64,262.00,179.47,239.73,6.55,59.36,-16.96,472.34,529.97
59.90,62449.66,12712.24,93.01,-2.62,-47.16,-6.55,-7.42,-29.68,82.49,150.29
60.00,79559.48,24026.71,200.43,75.98,129.69,57.64,-60.42,-40.28,170.63,171.76
60.10,145003.05,110548.27,230.56,72.05,94.32,22.27,46.64,8.48,493.81,503.98
60.20,155896.66,180105.34,328.81,448.02,370.73,-13.10,273.48,-11.66,614.72,661.05
60.50,127400.00,36242.46,238.42,200.43,206.98,-13.10,122.96,20.14,159.33,392.11
60.70,152276.67,147973.66,182.09,358.94,238.42,-18.34,213.06,62.54,587.60,598.90
60.80,79677.78,17635.22,174.23,72.05,-19.65,24.89,-71.02,60.42,93.79,119.78
60.80,131611.48,58951.31,234.49,233.18,180.78,35.37,140.98,-47.70,300.58,438.44
60.90,61756.24,16756.21,125.76,58.95,30.13,47.16,13.78,9.54,122.04,116.39
60.90,124351.50,126506.70,174.23,271.17,220.08,-62.88,258.64,92.22,502.85,428.27
61.00,66917.77,13054.15,85.15,43.23,28.82,-3.93,21.20,106.00,123.17,134.47
61.10,122036.46,53631.40,179.47,505.66,315.71,13.10,11.66,33.92,301.71,420.36
61.20,132100.16,107488.12,320.95,275.10,210.91,-10.48,107.06,90.10,484.77,414.71
61.70,76357.20,18013.81,73.36,120.52,73.36,-28.82,13.78,-36.04,125.43,97.18
61.70,163814.56,117276.44,299.99,137.55,387.76,-51.09,140.98,7.42,445.22,479.12
61.90,95826.64,22433.75,151.96,129.69,1.31,93.01,3.18,-6.36,124.30,238.43
61.90,89791.52,24388.27,271.17,129.69,-11.79,-2.62,2.12,4.24,167.24,194.36
61.90,82507.88,22665.62,134.93,72.05,40.61,44.54,54.06,-36.04,93.79,97.18
61.90,133267.69,78351.09,233.18,230.56,214.84,58.95,336.02,49.82,392.11,494.94
61.90,158390.97,123157.02,239.73,284.27,206.98,65.50,61.48,122.96,569.52,466.69
62.30,74604.53,17823.86,226.63,108.73,15.72,31.44,12.72,25.44,158.20,152.55
62.30,41971.02,11296.13,35.37,-34.06,32.75,9.17,8.48,-20.14,38.42,137.86
62.60,171211.05,181628.88,258.07,298.68,234.49,52.40,197.16,-57.24,718.68,632.80
62.70,131537.78,108302.94,259.38,188.64,189.95,40.61,89.04,5.30,416.97,381.94
63.00,92369.55,29892.89,86.46,155.89,74.67,24.89,-15.90,58.30,91.53,232.78
